source_name,eu_name
cinnamomum,Cinnamomum cassia oil
aldehyde,Metaldehyde
+metalaxyl m,Metalaxyl
cymoxanil + metirame,Metiram
cymoxanil+ zoxamid,Zoxamide
+picoxystrobine,Picoxystrobin
dinocap meptyl +,Dinocap
+pyrachlostrobin,Pyraclostrobin
oxad xemium,Oxadixyl
fenpropidine,Fenpropidin
fenpropimorphe +,Fenpropimorph
hydrochloride,Chitosan hydrochloride
folpet+ fosethyl-al,Folpet
fosetyl aluminium,Fosetyl
oil essentielle d orange,Orange oil
imidacloprid+tebuconaz,Tebuconazole
ole,Olein
mancozebe +valifenalate,Valifenalate (formerly Valiphenal)
manipropamide,Mandipropamid
+fluxapyroxade,Fluxapyroxad
+ sedaxane 49 98,Sedaxane
al,Naled
+benzovindiflupyr sola,Benzovindiflupyr
pyraclostrobine+epoxicon,Epoxiconazole
reynoutria,Reynoutria sachalinensis extract
spiroxamine +difeconazole,Spiroxamine
thiophanate ethyl +,Thiophanate (ethyl)
trichoderma atroviride,Trichoderma atroviride 77B
77b,Trichoderma atroviride 77B
2 4-d acid 2-ethylhexyl,"2,4-D"
ester,"2,5-Dichlorobenzoic acid methylester"
2 4-d salt,"2,4-D"
forasulam +,Asulam
dicamba-salt,Dicamba
diflufenican ou,Diflufenican
diflufenicanil,Diflufenican
dimethenamid-,Dimethenamid
p+metazachlor,Metazachlor
ethamet sulfuron,Ethametsulfuron-methyl
2 4-d-ethylhexyl +,"2,4-D"
sodium +mefenpyr,Asulam sodium
fluroxypyr ester1-,Fluroxypyr
glufosinate d aluminium,Glufosinate
mesosulfuron-,Mesosulfuron
methyl+iodosulfuron-,Iodosulfuron
mesosulfuron-methyle,Mesosulfuron
bensulfuron-methyl,Bensulfuron
metrobromuron,Metobromuron
+clomazon,Clomazone
pinoxaden +clodinafop-,Clodinafop
propargyl+florasulam+clo,Picloram
prosulfocarb +s-,COS-OGA
triflusulfuron methyl,Triflusulfuron (formerly Triflusulfuron-methyl)
triallate,Tri-allate
florasulame,Asulam
capsaicine +ally,Allyl alcohol
isothiocyanate,Methyl isothiocyanate
deltametrine+acetate,Fentin acetate
d ammonium+trimethylam,Trimethylamine hydrochloride
ine hcl+1 4diaminobutane,Aviglycine HCL
acetate e z-,"(E,Z)-9-dodecen-1-yl acetate; (E,Z)-9-Dodecen-1-ol; (Z)-11-Tetradecen-1-yl acetate"
formate,Ethyl formate
pure,Purpureocillium lilacinum PL 11
trichoderma harzianum t-,Trichoderma harzianum T78
d ammonium +trimethyla,Trimethylamine hydrochloride
mine hydrochloride +,Trimethylamine hydrochloride
base d esfenvalerate,Fenvalerate
2acetamide,Fluoroacetamide
beauveria bassiana strain atcc,Beauveria bassiana strain ATCC 74040
cyantraniliprole +acibenzolar-s-methyl,Cyantraniliprole
e z z-3 8 11-tetradecadien-1-yl acetate e z-3 8 tetradecad ien-1-yl acetate,"(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetate (SCLP Acetates)"
helicoverpaarmigeranucleopolyhedr ovirus,Helicoverpa armigera nucleopolyhedrovirus (HearNPV)
hexythiazox +abamectin,Hexythiazox
aureobasidium pullulans dsm 14940 et aureobasidium pullulans dsm 14941,Aureobasidium pullulans (strains DSM 14940 and DSM 14941)
bacillus amyloliquefaciens qst713scmin,Bacillus amyloliquefaciens AH2
bacillus amyloliquefaciens strain fzb24,Bacillus amyloliquefaciens strain FZB24
bacillus subtilis strain iab bs03,Bacillus subtilis strain IAB/BS03
cymoxanil + metirame de,Metiram
zinc,Zinc phosphide
cymoxanil +famoxad one,Famoxadone
dithianon +pyrachlostrobin,Dithianon
fluoxastrobine + propamocarb hydrochloride,Propamocarb
oil essentielle d orange douce,Orange oil
mefentrifluconazole +fluxapyroxade,Mefentrifluconazole
metalaxyl-m +fludioxinil + sedaxane,Sedaxane
trichoderma asperellum icc012 +trichoderma gamsii icc080,Trichoderma gamsii (formerly T. viride) strain ICC080
trichoderma asperellum strain,Trichoderma asperellum strain T34
chlorotoluron +pendimeyhalin+ diflufenican,Chlorotoluron
dicamba-salt dimethylamine dma,Dicamba
dimethenamid-p+metazachlor +quinmerac,Dimethenamid
halauxifen-methyl +aminopyralid +cloquintocet mexyl,Aminopyralid
ammonium acetate +trimethylamine hydrochloride + killdisc esfenvalerate,Fenvalerate
chlorprophame,Propham
m alathion,Malathion
a bamectine +spinosad,Spinosad
a lphacypermethrine,Permethrin
bacillus thuringiensis kurstaki,Bacillus thuringiensis subsp. Kurstaki strain SA 11
beauveriabassianastrain r444,Beauveria bassiana strain R444
cyantranil iprole,Cyantraniliprole
emamectine benzoate,Emamectin
fenazaquin,Fenazaquin
fluxametamide,Metam (incl. -potassium and -sodium)
drovirus,Helicoverpa armigera nucleopolyhedrovirus (HearNPV)
oil d essence d orange,Orange oil
i ndoxacarb,Indoxacarb
natural pyrethrin,Pyrethrins
pyrethrines,Pyrethrins
s pirotetramat,Spirotetramat
aureobasidiumpullulans dsm 14940 et aureobasidiumpullulans dsm 14941,Aureobasidium pullulans (strains DSM 14940 and DSM 14941)
bacillus amyloliquefaciens,Bacillus amyloliquefaciens AH2
fluopicolide + propamocarbhydrochloride,Propamocarb
kreoxim-methyl,Kresoxim-methyl
reynoutriasachalinensis extrai t de la plante renouee de sakhaline,Reynoutria sachalinensis extract
s piroxamine +difeconazole,Spiroxamine
trichoderma asperellum strain kd dsm32800,Trichoderma asperellum strain T34
trichodermaatroviride 77b,Trichoderma atroviride 77B
