Substance(s) active(s),P.Comm,Société,Fabricant
Emamectin benzoate,Proact 50 EC,TASMID,ASTRACHEM
Etofenprox,TREBON EC,Non spécifié,Non spécifié
Non spécifié,Killmite,BIOPROTECTION,ARYSTA LIFESCIENCE
Fenazaquin,Pride 200,INNOVA,GOWAN Espagne
Fenazaquin,MAGISTER,SEPCM,GOWAN Espagne
Fenpyroximate,FLASH UM,EL KHADRA,SIPCAM INAGRA (ancient fabricant: NIHON NOHYAKU Co. Ltd)
Gamma-cyhalothrine,Vantex,AGROSYSTEMES,FMC
Helicoverpa armigera nucleopolyhedrovirus,BOLLDEX SC,ALOHA Agriculture,ANDERMATT BIOCONTROL
Hexythiazox,Cesar,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD"
Hexythiazox,Diablo,EL KHADHRA,INDUSTRIAS AFRAZA
Huile minérale,PetrOil,SOCOOPEC,PETRONAS LUBRICANTS
Imidaclopride + lambda-cyhalothrine,Kilter,BIOPROTECTION,NUFARM
Imidachlopride + Lambda cyalothrine,JUDOKA GOLD,SANABEL AGRO,ROTAM AGOCHEMICALS
Imidacloprid Tebuconazole,GIZMO SUPER FS,AGRIPROTEC,NUFARM
Indoxacarbe,TALENT 150 SC,Ets MEZGHANI,ASTRACHEM
Lambda-cyhalothrine,POINTER100 CS,INNOVA,SIPCAM INAGRA
Lambda-cyhalothrine,LAMBDATROL,AGRIPROTEC,SIPCAM INAGRA
Non spécifié,Ravane,AGROSYSTEMES,GLOBACHEM
Non spécifié,Expert,SANABEL AGRO,SHARDA WORLDWIDE
Non spécifié,Markate,AMINCO,GLOBACHEM
Lambda-cyhalothrine,Jackpot,SANABEL AGRO,ROTAM AGROCHEMICALS
Lambda-cyhalothrine,Karaté 10 CS Zeon,Non spécifié,Non spécifié
Lambda-cyhalothrine,Kung Fu,Non spécifié,Non spécifié
Methoxyfenozide,Runner,INNOVA,DOW AGROSCIENCES
Milbemectin,Milbeknock,AGRIPROTEC,MITSUI CHEMICALS AGRO
Phosmet,Foslete 50,EL KHADHRA,SIPCAM INAGRA
Thiamethoxam + Lambda-cyhalothrine,ALIKA 247 ZC,COTUGRAIN IMPEX,SYNGENTA
Thiocyclame hydrogène oxalate,Evisect,BIOPROTECTION,NIPPON KAYAKU/
Triflumuron,Alsystin 480 SC,PROMOCHIMIE,BAYER CROPSCIENCE
AMETOCTRADIN + DIMETHOMORPH,Orvego,AGRIPROTEC,BASF
Amisulbrom,LEIMAY 20 SC,Non spécifié,Non spécifié
Chlorothalonil,Banko 720 SC,BIOPROTECTION,ARYSTA LIFESCIENCE
Chlorothalonil,Faudel,SEPCM,AAKO
Chlorothalonil,Morfus 720 SC,SANABEL AGRO,ROTAM AGROCHEMICAL
Non spécifié,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Chlorothalonil + Tebuconazole,Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Chlorothalonil + Tebuconazole,Timpani,EL MOUSSEM AGRICOLE,NUFARM
Chlorothalonil + Propiconazole + Cyproconazole,Priori Xtra,SOLAGRI,SYNGENTA
Cyproconazole + chlorothalonil,CYCLONE,SANABEL AGRO,SHARDA CROPCHEM
Cyproconazole + Propicinazole,Menara 410 EC,AGRIPROTEC,SYNGENTA
Cyproconazole + Propicinazole,TAZOLE 410 EC,AGRONOMIC Land,SHARDA
Cyproconazole + Propicinazole,TWIST SUPER EC,ATLAS AGRICOLE,SHARDA
Cyproconazole + Propicinazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole + Picoxystrobine,Acanto plus,SEPCM,DU PONT INTERNATIONAL
Cyproconazole + Picoxystrobine,STINGER SC,ATLAS AGRICOLE,DU PONT INTERNATIONAL
Difenoconazole,Score 250 EC,BIOPROTECTION,SYNGENTA
Non spécifié,Difcor,AGROSYSTEMES,GLOBACHEM
Non spécifié,Protector,AMINCO,GLOBACHEM
Non spécifié,Divisole,TASMID,ASTRACHEM
Non spécifié,PROZOLE 250 EC,Ets MEZGHANI,ASTRACHEM
Fenpropimorphe + Epoxiconazole + Metrafenone,Capalo,STIMA,BASF
Fenpropidine + Propiconazole,Zenith 575 EC,SOLAGRI,SYNGENTA
Fluazinam,FOLY,SEPCM,AAKO
Fluazinam,Nando,Non spécifié,Non spécifié
Flutriafol + Thiabendazole,Vincit F,AGRIPROTEC,CHEMINOVA
Fluxapyroxad + Pyraclostrobine,PRIAXOR SE,COTUGRAIN IMPEX,BASF
Mandipropamide + Difenoconazole,CARIAL TOP,BIOPROTECTION,SYNGENTA
Mandipropamide + Chlorothalonil,Carial Opti,BIOPROTECTION,SYNGENTA
Mandipropamide + Mancozebe,Pergado MZ 65 WG,AGRIPROTEC,SYNGENTA
Metalaxyl + Mancozébe,Cyclo WP,EL KHADRA,AFRASA
Métalaxyl + Cuivre,Armetil cuivre,SOCOOPEC,IQV DEL VALLES
Propiconazole,PLAZMA,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
Propiconazole,TIFO 25 EC,FERTIPLANT,Sharda cropchem
Propiconazole,BANNER EC,AGRIPLUS,HEBEI VEYONG BIO- CHEMICAL CO.LTD
Propiconazole + Cyproconazole,Alto super,BIOPROTECTION,SYNGENTA
Propiconazole + Tebuconazole,Collosal Pro,EL KHADRA,AUGUST JSC
Spiroxamine,Prosper 500 EC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Sulfate de cuivre + Folpel +Cymoxanil,METEOR,EL MOUSSEM AGRICOLE,NUFARM
Tebuconazole,Timer FS 060,STEC,BAYER CROPSCIENCE
Non spécifié,Mycoseeds FS 60,EL KHADRA,Sharda World wide
Tebuconazole,SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA
