SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
CUIVRE,SISCOP 60 SC,SEPCM,AAKO BV,CUIVRE,CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO BV
DIFENOCONAZOLE,SITARA FS,SANABEL AGRO,SHARDA CROPCHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
FLUPYRADIFURONE,SIVANTO PRIME 200 SL,ATLAS AGRICOLE,BAYER A.G,FLUPYRADIFURONE,FLUPYRADIFURONE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER A G
TRIBENURON-METHYL,SKYLLA WDG,AGRONOMIC LAND,ROTAM AGROCHEMICAL CO.LTD,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRONOMIC LAND,ROTAM
PROTHIOCONAZOLE + TEBUCONAZOLE + BIXAFEN,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,BIXAFEN,BIXAFEN,N/A,N/A,PROMOCHIMIE,BAYER AG
EMAMECTIN BENZOATE + SPINOSAD,SMECTO SC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,SPINOSAD,SPINOSAD,N/A,N/A,N/A,N/A,NEGANOR FFT,SHANDONG WEIFANG RAINBOW
AMETOCTRADINE,SNOOKER SC,STIMA,BASF,AMETOCTRADINE,AMETOCTRADINE,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
PROTHIOCONAZOLE + TEBUCONAZOLE + SPIROXAMINE,SOLIGOR 425,ATLAS AGRICOLE,BAYER CROPSCIENCE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,SPIROXAMINE,SPIROXAMINE,N/A,N/A,ATLAS,BAYER CROPSCIENCE
ABAMECTIN +THIAMETHOXAM,SOLVIGO 185 SC,COTUGRAIN IMPEX,SYNGENTA,ABAMECTIN,ABAMECTIN,THIAMETHOXAM,THIAMETHOXAM,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
TEBUCONAZOLE,SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SIPCAM INAGRA
EPOXICONAZOLE,SOPRANO,SEPCM,AAKO,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
AZOXYSTROBINE,SORBISTAR,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,ZHEJIANG E TONG
DIFENACOUM,SOREXA PELLETS,AGRIPROTEC,BASF,DIFENACOUM,DIFENACOUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
SOUFRE,SOUFRUSTULLN,AMINCO,AGROSTULLNGMBH,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,AGROSTULLNGMBH
SPINOSADE,SPANVIC,UNIAGRO,SHANDONG,SPINOSADE,SPINOSADE,N/A,N/A,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG
EMAMECTIN BENZOATE + SPINOSAD,SPANVIC PLUS SC,UNIAGRO,SHANDONG,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,SPINOSAD,SPINOSAD,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG
DIFENOCONAZOLE,SPECTRO 30 FS,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
DIFENOCONAZOLE +MÉTALAXYL-M,SPECTROEXTREME 115 FS,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,MÉTALAXYL-M,MÉTALAXYL-M,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
TÉBUCONAZOLE,SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/CROPIDEA,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY CROPIDEA
SPIRODICLOFEN,SPIDER EXTRA SC,SANABEL AGRO,SHARDA CROPCHEM,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
EPOXICONAZOLE,SPIKE,AGROSYSTEMES,GLOBACHEM,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
SPINOSADE,SPINO 480 SC,EL KHADRA,"BAICO BIOTECH CO,LTD/",SPINOSADE,SPINOSADE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,BAICO BIOTECH
SPINOSADE,SPINTOR,ATLAS AGRICOLE,DOW AGROSCIENCE/CORTEVA AGRISCIENCE,SPINOSADE,SPINOSADE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCE CORTEVA AGRISCIENCE
SPIRODICLOFEN,SPIRIDOR 240 SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
SPIRODICLOFEN,SPIROFEN,STE ELKHADRA,EASTCHEM CO.LTD,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,STE ELKHADRA,EASTCHEM
SPIROXAMINE +DIFECONAZOLE,SPIROX D EC,BIOPROTECTION,ARYSTALIFESCIENCE/UPL,SPIROXAMINE,SPIROXAMINE,DIFECONAZOLE,DIFECONAZOLE,N/A,N/A,N/A,N/A,BIOPROTECTION,ARYSTALIFESCIENCE UPL
CHLORMEQUAT-CHLORURE,STABILAN750,AGRIPROTEC,NUFARM,CHLORMEQUAT-CHLORURE,CHLORMEQUAT-CHLORURE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
PENDIMETHALINE +CLOMAZON,STALLION,AGRIPROTEC,FMC,PENDIMETHALINE,PENDIMETHALINE,CLOMAZON,CLOMAZON,N/A,N/A,N/A,N/A,AGRIPROTEC,FMC
INDOXACARBE,STARCARB,SSCC,GARDA CHEMICAL,INDOXACARBE,INDOXACARBE,N/A,N/A,N/A,N/A,N/A,N/A,SSCC,GARDA
THIOPHANATE-MÉTHYL,STARNET 70 WG,PROMOCHIMIE,BAYER CROPSCIENCE,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
FOSTETYL –ALUMINIUM,STIN 80 WP,PLANETE VERTE,ASTRANOVA,FOSTETYL –ALUMINIUM,FOSTETYL –ALUMINIUM,N/A,N/A,N/A,N/A,N/A,N/A,PLANETE VERTE,ASTRANOVA
CYPROCONAZOLE + PICOXYSTROBINE,STINGER SC,ATLAS AGRICOLE,DU PONT INTERNATIONAL,CYPROCONAZOLE,CYPROCONAZOLE,PICOXYSTROBINE,PICOXYSTROBINE,N/A,N/A,N/A,N/A,ATLAS,DU PONT INTERNATIONAL
"2,4-D SEL D’AMINE",STOPWEEDS,SANABEL AGRO,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA
CYCLOXIDIME,STRATOS ULTRA EC,AGRIPROTEC,BASF,CYCLOXIDIME,CYCLOXIDIME,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
KRÉSOXIM-MÉTHYL,STROBY DF,STIMA,BASF,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
SPINOSAD,SUCCESS SC,PROTAGRI,NANJING AGROHEMICAL CHINE,SPINOSAD,SPINOSAD,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,NANJING AGROHEMICAL CHINE
KREOXIM-METHYL,SUGOBY WG,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE",KREOXIM-METHYL,KREOXIM-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,LAINCO S A ESPAGNE
SOUFRE,SULFINOVA 80WDG,AGRINOVA,AGROW ALLIED,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,AGROW ALLIED
SOUFRE,SULFOMAX,EL KHARDA,AFEPASA,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHARDA,AFEPASA
SOUFRE,SULFOSTAR DF,AGRIPROTEC,BASF,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
SOUFRE,SULPEX,AGRIMATCO,AGROSTULLN GMBH,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,AGROSTULLN
PYRIDALYL,SUMIPLEO50EC,AGRIMATCO,SUMITOMO,PYRIDALYL,PYRIDALYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,SUMITOMO
HUILE MINÉRALE,SUNOIL,AGRIMATCO,PETRONAS LUBRICANTS BELGIUM NV,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,PETRONAS LUBRICANTS BELGIUM NV
CHLORPYRIPHOSETHYL,SUPER CHLORPY,EL MOUSSEM,GHARDA,CHLORPYRIPHOSETHYL,CHLORPYRIPHOSETHYL,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,GHARDA
MÉTALDÉHYDE,SUPER META,STEC,"CEQUISA/PHOSPHONIA, SL)",MÉTALDÉHYDE,MÉTALDÉHYDE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,CEQUISA PHOSPHONIA SL
CHLOROTHALONIL +TEBUCONAZOLE,SUPER PLAZMA SC,AGRIPROTEC,NUFARM,CHLOROTHALONIL,CHLOROTHALONIL,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
TÉBUCONAZOLE,SUPREME 25 EW,COTUGRAIN IMPEX,UPL LIMITED,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,UPL
HUILE PARAFINIQUE,SUSPRAY,SEPCM,COMPTOIR COMMERCIAL DES LUBRIFIANTS,HUILE PARAFINIQUE,HUILE PARAFINIQUE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,COMPTOIR COMMERCIAL DES LUBRIFIANTS
EPOXICONAZOLE + DIMOXYSTROBINE,SWING GOLD,STIMA,BASF,EPOXICONAZOLE,EPOXICONAZOLE,DIMOXYSTROBINE,DIMOXYSTROBINE,N/A,N/A,N/A,N/A,STIMA,BASF
PINOXADEN + CLODINAFOP-PROPARGYL + FLORASULAM + CLOQUINTOCET-MEXYL,SWIPE,BIOPROTECTON,SYNGENTA,PINOXADEN,PINOXADEN,CLODINAFOP-PROPARGYL,CLODINAFOP-PROPARGYL,FLORASULAM,FLORASULAM,CLOQUINTOCET-MEXYL,CLOQUINTOCET-MEXYL,BIOPROTECTON,SYNGENTA
FLUDIOXONIL +CYPRODINIL,"SWITCH 62,5 WG",BIOPROTECTION,SYNGENTA,FLUDIOXONIL,FLUDIOXONIL,CYPRODINIL,CYPRODINIL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
DODINE,SYLLIT 400 SC,PROTAGRI,ARYSTA LIFE SCIENCE BENELUX / BELGIQUE/UPL,DODINE,DODINE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,ARYSTA LIFE BENELUX BELGIQUE UPL
QUIZALOFOP –P-ETHYL,SYMBA EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD",QUIZALOFOP –P-ETHYL,QUIZALOFOP –P-ETHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,JIANGSU FENGSHAN GROUP
CYPERMETHRINE,SYNCHRO,EL KHADRA,SHARDA WORLDWIDE,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SHARDA WORLDWIDE
MYCLOBUTANIL,SYSTHANE 240 EC,SEPCM,DOW,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DOW
PROPICONAZOLE,SYTERNA EC,ETS MEZGHANI,FENGDENG USA,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,FENGDENG USA
TRICHODERMA ATROVIRIDE 77B,T-77 WP,ALOHA AGRICULTURE,PLANT HEALTH PRODUCTS (PHY),TRICHODERMA ATROVIRIDE 77B,TRICHODERMA ATROVIRIDE 77B,N/A,N/A,N/A,N/A,N/A,N/A,ALOHA,PLANT HEALTH PRODUCTS PHY
HYMEXAZOLE,TACHIGAREN,AGRIPROTEC,"MITSUI CHEMICALS AGRO,INC",HYMEXAZOLE,HYMEXAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,MITSUI AGRO
BACILLUS AMYLOLIQUEFACIENS SOUCHE FZB24:,TAEGRO,COTUGRAIN,NOVOZYMESBIOLOGICALS INC/SYNGENTA,BACILLUS AMYLOLIQUEFACIENS SOUCHE FZB24:,BACILLUS AMYLOLIQUEFACIENS SOUCHE FZB24:,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,NOVOZYMESBIOLOGICALS SYNGENTA
FLUBENDIAMIDE,TAKITOP WG,STÉ EL KHADRA,"EASTCHEM CO,LTD CHINE",FLUBENDIAMIDE,FLUBENDIAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,STE EL KHADRA,EASTCHEM CHINE
FLUBENDIAMIDE,TAKUMI 20 WG,EL MOUSSEM AGRICOLE,NIHON NOHYAKU / NICHINO EUROPE,FLUBENDIAMIDE,FLUBENDIAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NIHON NOHYAKU NICHINO EUROPE
PROQUINAZID,TALENDO,SEPCM,DU PONT,PROQUINAZID,PROQUINAZID,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DU PONT
INDOXACARBE,TALENT 150 SC,ETS MEZGHANI,ASTRACHEM,INDOXACARBE,INDOXACARBE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ASTRACHEM
METAM POTASSIUM,TAMIFUME,AGRO-SYSTEMES,TAMINCO,METAM POTASSIUM,METAM POTASSIUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRO SYSTEMES,TAMINCO
ARYLEX ACTIVE(HALAUXIFEN-METHYL) + PYROXSULAM +CLOQUINTOCET ACIDE,TARZEK + UPTAKE SL,COTUGRAIN,DOW AGROSCIENCES,ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE(HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,N/A,N/A,COTUGRAIN,DOW AGROSCIENCES
ARYLEX ACTIVE(HALAUXIFEN-METHYL) + PYROXSULAM +CLOQUINTOCET ACIDE,TARZEK + UPTAKE SL,ATLAS AGRICOLE,DOW AGROSCIENCES,ARYLEX ACTIVE(HALAUXIFEN-METHYL),ARYLEX ACTIVE(HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,N/A,N/A,ATLAS,DOW AGROSCIENCES
ARYLEX ACTIVE (HALAUXIFEN-METHYL) + PYROXSULAM + CLOQUINTOCET ACIDE,TARZEK WG,ATLAS AGRICOLE,DOW AGROSCIENCES,ARYLEX ACTIVE (HALAUXIFEN-METHYL),ARYLEX ACTIVE (HALAUXIFEN-METHYL),PYROXSULAM,PYROXSULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,N/A,N/A,ATLAS AGRICOLE,DOW AGROSCIENCES
GLYPHOSATE,TAYARA,EL MOUSSEM AGRI,NUFARM AMERICAS,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM AGRI,NUFARM AMERICAS
AZOXYSTROBINE + EPOXICONAZOLE,TAZER XPERT SC,EL MOUSSEM,NUFARM,AZOXYSTROBINE,AZOXYSTROBINE,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
CYPROCONAZOLE + PROPICINAZOLE,TAZOLE 410 EC,AGRONOMIC LAND,SHARDA,CYPROCONAZOLE,CYPROCONAZOLE,PROPICINAZOLE,PROPICINAZOLE,N/A,N/A,N/A,N/A,AGRONOMIC LAND,SHARDA
CYPROCONAZOLE + PROPICONAZOLE,TAZOLE 410 EC,EXCEL AGRI,SHARDA,CYPROCONAZOLE,CYPROCONAZOLE,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA
TÉBUCONAZOLE,TEBUCUR,AGROSYSTEMES,GLOBACHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
TÉBUCONAZOLE,TEBUNOVA SC,AGRINOVA,SHARDA,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA
TEBUCONAZOLE,TEBUSHA 6 FS,AGRINOVA,SHARDA WORLD WIDE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA WORLD WIDE
TÉBUCONAZOLE,TEBUZOL 25 EW,AGRIPROTEC,UPL LIMITED,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,UPL
FENHEXAMIDE,TELDOR,PROMOCHIMIE,BAYER CROPSCIENCE,FENHEXAMIDE,FENHEXAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
THIABENDAZOLE,TENAZOLE,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,THIABENDAZOLE,THIABENDAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
S-METOLACHLOR,TENDER 960 EC,SOLAGRI,SYNGENTA,S-METOLACHLOR,S-METOLACHLOR,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
FLONICAMID,TEPPEKI WG,AGRIPROTEC,ISK BIOSCIENCES EUROPE N.V(FABRICANT)/UPL(FOURNISSEUR),FLONICAMID,FLONICAMID,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ISK BIOSCIENCES EUROPE N V FABRICANT UPL FOURNISSEUR
TERBUTHYLAZINE,TERBUZINE 75 WG,PROMOCHIMIE,SIPCAM INAGRA,TERBUTHYLAZINE,TERBUTHYLAZINE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,SIPCAM INAGRA
TERBUTHYLAZINE,TERBYNE 75 WG,EL KHADRA,SIPCAM INAGRA,TERBUTHYLAZINE,TERBUTHYLAZINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRA
ABAMECTINE,TERVIGO 020 SC,BIOPROTECTION,SYNGENTA CROP PROTECTION AG,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA AG
TÉBUCONAZOLE,TESON,AMINCO,GLOBACHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
THIAMÉTOXAM,THIAMEX 25 WG,SLDA,UNITED PHOSPHORUS LTD,THIAMÉTOXAM,THIAMÉTOXAM,N/A,N/A,N/A,N/A,N/A,N/A,SLDA,UNITED PHOSPHORUS
THIOPHANATE-MÉTHYL,THIO 50 SC,COTUGRAIN,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SHARDA CROPCHEM
SOUFRE,THIOMAX JET,COTUGRAIN,SYNGENTA,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SYNGENTA
THIOPHANATE-MÉTHYL,THIOMIL,PROTAGRI,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,MEGHMANI INDUSTRIES
ZIRAME,THIONICAUTODISPERS IBLE,AGROSYSTEMES,TAMINCO/EASTMAN,ZIRAME,ZIRAME,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,TAMINCO EASTMAN
THIOPHANATE-MÉTHYL,THIOPHANATE,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES
THIOPHANATE-MÉTHYL,THIOPHANATE M,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES
THIOPHANATE-MÉTHYL,THIOPHYL 50 SC,SHARDA,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA,SHADRA CROPCHEM
THIOPHANATE-MÉTHYL,THIOPHYL 50 SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
SOUFRE,THIOPRON SC,BIOPROTECTION,UPL,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
PROPICONAZOLE,TIFO 25 EC,FERTIPLANT,SHARDA CROPCHEM,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,FERTIPLANT,SHARDA CROPCHEM
CHLOROTHALONIL + TEBUCONAZOLE,TIGER,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES,CHLOROTHALONIL,CHLOROTHALONIL,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EL MOUSSEM,PARIJAT INDUSTRIES
TÉBUCONAZOLE + PROTHIOCONAZOLE,TILMOR 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,N/A,N/A,N/A,N/A,JADWA AGROTEC,BAYER CROPSCIENCE
PROPICONAZOLE,TILT 250,BIOPROTECTION,SYNGENTA,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
TEBUCONAZOLE,TIMER FS 060,STEC,BAYER CROPSCIENCE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,BAYER CROPSCIENCE
CHLOROTHALONIL + TEBUCONAZOLE,TIMPANI,EL MOUSSEM AGRICOLE,NUFARM,CHLOROTHALONIL,CHLOROTHALONIL,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
ABAMECTINE,TINA EC,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
THIOPHANATE-METHYL,TIOKEY WP,ETS MEZGHANI,HAILI GUIXI CHEMICAL PESTICIDE CO.LTD,THIOPHANATE-METHYL,THIOPHANATE-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,HAILI GUIXI PESTICIDE
SOUFRE,TIOSOL 80,ATLAS AGRICOLE,SIPCAM,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SIPCAM
THIOPHANATE-MÉTHYL,TOP PLUS,SOCOOPEC,AGRIA S.A,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,AGRIA S A
PENCONAZOLE,TOPAZE 100,BIOPROTECTION,SYNGENTA,PENCONAZOLE,PENCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
PENCONAZOLE,TOPENCO 100 EC,AGROSYSTEMES,GLOBACHEM,PENCONAZOLE,PENCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
"2,4-D SEL D’AMINE",TOPOL,EL KHADRA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SHARDA
PYRIMICARBE,TORNADO,AMINCO,GLOBACHEM,PYRIMICARBE,PYRIMICARBE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
TRIBENURON-METHYL,TOSCANA,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
"BACILLUS THURINGIENSIS (SPKURSTAKI),SOUCHE ABTS-351",TOUTA STOP WP,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,"BACILLUS THURINGIENSIS (SPKURSTAKI), SOUCHE ABTS-351","BACILLUS THURINGIENSIS (SPKURSTAKI), SOUCHE ABTS-351",N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
SULFOXAFLOR,TRANSFORM SC,EL BARAKA,DOW AGROSCIENCE/CORTEVA,SULFOXAFLOR,SULFOXAFLOR,N/A,N/A,N/A,N/A,N/A,N/A,EL BARAKA,DOW AGROSCIENCE CORTEVA
PINOXADEN +CLODINAFOP-PROPARGYL+CLOQUINTOCET-MEXYL,TRAXOSPRATIC,BIOPROTECTION,SYNGENTA,PINOXADEN,PINOXADEN,CLODINAFOP-PROPARGYL,CLODINAFOP-PROPARGYL,CLOQUINTOCET-MEXYL,CLOQUINTOCET-MEXYL,N/A,N/A,BIOPROTECTION,SYNGENTA
